Time1	Space1	Time2	Space2
1431	1.53237	2571	16.67432
1283	-0.87222	1485	2.11152
1545	3.11422	1446	1.79686
1857	7.16444	1292	-0.68901
1792	6.19523	1439	1.48032
1416	1.28342	1396	0.80191
1318	-0.31602	2571	16.67432
1521	2.90791	1485	2.11152
1303	-0.55759	1721	5.54276
1757	5.97655	1694	5.1412
1407	1.15984	1721	5.54276
1294	-0.69236	1694	5.1412
1447	1.75545	1447	1.81005
1319	-0.30587	1281	-0.8689
1530	2.90591	1527	2.67944
1720	5.84838	2085	11.37181
1306	-0.52058	1282	-0.83346
1493	2.51006	1536	3.07414
1530	2.9815	1503	2.37826
1529	2.98694	1433	1.4147
1451	1.80322	1393	0.78167
1302	-0.60056	1286	-0.79783
1424	1.292	1250	-1.32236
1380	0.58848	2528	17.83071
1914	8.08104	1154	-2.77818
1500	2.55744	1385	0.67288
1467	2.04574	1414	1.2833
1325	-0.22071	1297	-0.62897
1441	1.61172	2084	10.76831
1355	0.23629	1803	6.57372
1377	0.54679	1686	5.05421
1526	2.92784	1281	-0.87786
1377	0.52586	1446	1.77961
1429	1.35414	1291	-0.72311
1379	0.55542	1727	5.92346
1516	2.80372	1298	-0.67879
1426	1.40446	1282	-0.84956
1311	-0.46869	1741	6.14021
1583	3.55007	1524	2.89747
1512	2.48653	3124	24.32995
1452	1.69552	2283	13.9303
1375	0.47575	1518	2.50416
1527	2.95925	2864	20.29355
1475	2.23414	2242	13.65694
1291	-0.70727	1286	-0.82298
1492	2.20429	3138	23.91138
1659	4.70601	1701	4.96486
1430	1.48739	1741	6.14021
1319	-0.3139	1524	2.89747
1510	2.71207	3124	24.32995
1364	0.36553	2283	13.9303
1508	2.69226	1518	2.50416
1453	1.73261	2864	20.29355
1388	0.71198	2242	13.65694
1509	2.68745	1286	-0.82298
1369	0.41967	3138	23.91138
1291	-0.72866	1701	4.96486
1428	1.46697	1380	0.52114
1296	-0.68141	2054	9.87112
1775	6.22604	1456	1.72369
1437	1.59503	1393	0.73478
1308	-0.49585	1417	1.34672
1413	1.17554	1278	-0.91942
1361	0.33447	3196	24.93927
1504	2.47387	1417	1.34672
1415	1.19498	1278	-0.91942
1364	0.37144	3196	24.93927
1490	2.27138	1448	1.68518
1527	2.69665	1568	3.42823
1408	1.16982	1379	0.59512
1313	-0.38612	1508	2.529
1421	1.23656	1678	4.94811
1359	0.23297	1498	2.56832
1309	-0.45826	1448	1.71656
1519	2.81518	1347	0.10062
1625	4.21735	1494	2.50669
1445	1.69256	1277	-0.94876
1325	-0.24149	1448	1.68518
1428	1.3633	1568	3.42823
1369	0.41697	1379	0.59512
1287	-0.75658	1508	2.529
1821	6.86946	1678	4.94811
1664	4.52539	1498	2.56832
1432	1.41912	1448	1.71656
1374	0.4927	1347	0.10062
1515	2.59179	1494	2.50669
1324	-0.21409	1277	-0.94876
1428	1.49925	1289	-0.74529
1298	-0.61453	2332	15.05827
1489	2.36553	1276	-0.93134
1578	3.68649	2340	14.57699
1521	2.83391	1695	4.93953
1457	1.80811	2528	17.89155
1370	0.43266	1545	3.20465
1446	1.77522	1691	5.14836
1295	-0.66339	1432	1.45375
1505	2.59994	1353	0.18205
1424	1.4469	2759	19.00659
1288	-0.76765	2286	14.02436
1661	4.46651	1524	2.64235
1471	2.01834	1490	2.45973
1359	0.24826	2133	11.99127
1534	2.79797	1535	3.05743
1413	1.08827	1395	0.81959
1375	0.47455	1451	1.73719
1759	6.01231	1370	0.454
1531	2.76268	2156	12.42556
1459	1.98141	1495	2.54704
1290	-0.73544	1751	6.36101
1508	2.71932	1279	-0.90289
1435	1.57571	1979	9.6762
1303	-0.56588	1296	-0.72089
1529	2.95977	2156	12.42556
1440	1.68245	1495	2.54704
1307	-0.46769	1751	6.36101
1519	2.59121	1279	-0.90289
1423	1.28883	1979	9.6762
1378	0.56878	1296	-0.72089
1642	4.4709	1659	4.60526
1478	2.26348	1538	2.79618
1274	-0.9987	1418	1.37689
1582	3.72688	1287	-0.75963
1549	3.23439	1449	1.83384
1450	1.87594	1288	-0.76285
1280	-0.86434	1384	0.65153
1645	4.49979	1659	4.60526
1291	-0.72866	1538	2.79618
1357	0.23579	1418	1.37689
1588	3.85029	1287	-0.75963
1318	-0.34996	1449	1.83384
1417	1.36188	1288	-0.76285
1285	-0.79165	1384	0.65153
1540	3.13665	1815	6.72967
1454	1.87714	1271	-1.03616
1308	-0.47126	1457	1.80616
1510	2.65616	1368	0.3973
1454	1.92448	1533	3.04538
1284	-0.81263	1296	-0.64375
1428	1.36269	1449	1.86731
1379	0.58082	1274	-0.95363
1409	1.21211	1348	0.11634
1291	-0.71976	1296	-0.64375
1640	4.37107	1449	1.86731
1494	2.49579	1274	-0.95363
1368	0.34587	1348	0.11634
1284	-0.83198	2218	13.3274
1452	1.73683	1284	-0.82914
1369	0.42145	1460	2.0024
1442	1.71941	1284	-0.82555
1292	-0.7068	1729	5.84586
1755	5.90813	1394	0.78045
1515	2.80791	1932	8.29485
1473	2.16346	1440	1.56399
1313	-0.38998	1356	0.21787
1297	-0.64714	1507	2.50917
2014	9.1115	1508	2.72174
1406	1.16276	1421	1.39382
1296	-0.64033	1286	-0.8059
1516	2.79886	1428	1.49805
1515	2.77889	2252	13.74288
1542	2.90914	1285	-0.82612
1431	1.42048	1498	2.48727
1380	0.609	1380	0.59994
1633	4.33029	1529	2.73718
1655	4.6654	1451	1.70765
1415	1.26118	1388	0.71719
1301	-0.60334	3002	22.20952
1535	3.05324	2119	11.85849
1305	-0.53443	1495	2.53285
1484	2.38746	1470	2.1545
1543	3.15527	1292	-0.69517
1515	2.54902	1899	7.7401
1638	4.40801	1808	6.38287
1538	3.1014	1269	-1.05643
1433	1.57081	1457	1.98775
1301	-0.57112	1268	-1.05019
1550	3.00645	1469	1.96711
1446	1.80309	1390	0.73461
1277	-0.92541	1509	2.70179
1440	1.68403	2494	17.40131
1306	-0.48248	1283	-0.88852
1408	1.18841	3186	24.78305
1279	-0.9221	2755	19.09544
1301	-0.58714	1493	2.46985
1448	1.75677	1419	1.38962
1321	-0.28785	1292	-0.68127
1514	2.78173	1688	5.02906
1434	1.59114	2470	17.10903
1292	-0.71302	1490	2.4653
1512	2.74724	1493	2.46985
1485	2.3795	1419	1.38962
1535	3.03663	1292	-0.68127
1522	2.88374	1688	5.02906
1595	3.98494	2470	17.10903
1506	2.65283	1490	2.4653
1701	5.34855	1415	1.26781
1646	4.52832	1299	-0.62806
1675	4.90263	1385	0.67674
1534	2.78731	1760	6.44221
1635	4.36361	1538	3.12388
1415	1.28592	1232	-1.59449
1311	-0.4127	1441	1.70675
1510	2.72262	1159	-2.69703
1462	2.03095	1285	-0.81675
1287	-0.77972	1533	2.98069
1848	7.26757	1461	2.0021
1665	4.53512	1287	-0.79295
1511	2.73128	2505	17.60018
1492	2.47247	1494	2.49831
1506	2.67088	1514	2.75923
1508	2.69885	2967	24.51472
1519	2.8361	1501	2.61285
1530	3.00665	1224	-1.71698
1431	1.55289	1443	1.71775
1296	-0.63938	1152	-2.80212
1438	1.66412	1294	-0.69114
1294	-0.66795	1432	1.56853
1575	3.71525	1285	-0.81707
1300	-0.58123	1451	1.82232
1491	2.44711	1300	-0.61132
1305	-0.53632	1413	1.28122
1444	1.61026	1279	-0.90646
1377	0.54857	1675	4.88405
1514	2.74863	1429	1.53925
1508	2.70761	1271	-1.02432
1446	1.65419	1408	1.02674
1369	0.43118	1390	0.7383
1448	1.67866	1459	1.90013
1381	0.62175	1342	0.03491
1437	1.6119	1445	1.78012
1305	-0.52713	1282	-0.85233
1441	1.69617	1455	1.85638
1290	-0.74784	1285	-0.88317
1653	4.32706	1432	1.57932
1539	3.1198	1289	-0.74146
1433	1.45692	2521	17.79347
1379	0.59843	1527	2.94614
1502	2.59319	1445	1.78012
1502	2.59229	1282	-0.85233
1629	4.31396	1455	1.85638
1438	1.67509	1285	-0.88317
1281	-0.86734	1432	1.57932
1527	2.94688	1289	-0.74146
1503	2.35522	2521	17.79347
1505	2.62944	1527	2.94614
1461	1.89153	1459	1.98877
1353	0.17568	1278	-0.92031
1424	1.40925	1448	1.81999
1302	-0.57877	1289	-0.74529
1493	2.24497	1426	1.36804
1436	1.62099	1345	0.05708
1282	-0.87595	1818	6.78021
1409	1.19986	1283	-0.84568
1298	-0.61817	1420	1.25245
1645	4.48445	1368	0.415
1312	-0.42274	1416	1.19598
1515	2.75292	1353	0.17349
1574	3.441	1529	2.98298
1499	2.31659	1833	7.59965
1502	2.35224	1277	-0.92143
1496	2.24642	1769	6.26595
1500	2.30756	1697	5.19202
1549	3.23759	1462	2.02824
1432	1.56559	1284	-0.83004
1296	-0.64222	1512	2.51062
1375	0.51811	1487	2.4158
1362	0.30976	1417	1.21309
1502	2.35555	1366	0.39007
1515	2.77889	1436	1.50283
1412	1.27079	1359	0.26801
1294	-0.65876	1791	6.6153
1418	1.27268	1527	2.66995
1314	-0.42669	2519	17.72704
1511	2.72232	1560	3.39958
1488	2.16881	2821	19.99563
1302	-0.54678	2821	19.99563
1519	2.58955	2821	19.99563
1533	3.00429	1527	2.9334
1440	1.55954	1539	3.11674
1384	0.67448	3124	23.94699
1645	4.26383	3067	24.97782
1439	1.68092	2821	19.99563
1288	-0.76406	1527	2.9334
1536	2.82839	1539	3.11674
1442	1.74353	3124	23.94699
1278	-0.9079	3067	24.97782
1508	2.68332	1527	2.9334
1442	1.59681	1539	3.11674
1362	0.31968	3124	23.94699
1296	-0.65129	3067	24.97782
1643	4.47856	1527	2.9334
1560	3.41133	1539	3.11674
1347	0.11027	3124	23.94699
1563	3.51562	3067	24.97782
1293	-0.71749	2821	19.99563
1427	1.46854	1527	2.9334
1303	-0.54873	1539	3.11674
1402	1.07472	3124	23.94699
1305	-0.51828	3067	24.97782
1462	2.01581	1527	2.9334
1304	-0.51821	1539	3.11674
1419	1.30301	3124	23.94699
1314	-0.41116	3067	24.97782
1501	2.59224	1527	2.9334
1406	1.12226	1539	3.11674
1309	-0.46889	3124	23.94699
1503	2.50643	3067	24.97782
1432	1.43794	1527	2.9334
1380	0.61108	1539	3.11674
1668	4.63979	3124	23.94699
1443	1.71476	3067	24.97782
1296	-0.66282	1527	2.9334
1657	4.60165	1539	3.11674
1598	3.787	3124	23.94699
1505	2.39362	3067	24.97782
1421	1.22344	1527	2.9334
1373	0.45086	1539	3.11674
1366	0.39322	3124	23.94699
1308	-0.46297	3067	24.97782
1520	2.88767	2496	17.41547
1447	1.58586	1532	3.01563
1377	0.47311	1436	1.57781
1688	5.3681	1299	-0.64408
1527	2.961	1455	1.88855
1493	2.49364	1290	-0.76812
1766	6.10203	2222	13.0647
1412	1.27378	1683	5.01388
1292	-0.6883	1714	5.84214
1513	2.76076	1482	2.37075
1440	1.53774	1447	1.82708
1385	0.66767	1274	-0.96375
1632	4.3346	1714	5.84214
1423	1.3747	1482	2.37075
1315	-0.38471	1447	1.82708
1494	2.38567	1274	-0.96375
1278	-0.91067	1492	2.4667
1460	2.00857	1391	0.71838
1285	-0.80371	1442	1.72055
2061	10.93789	1289	-0.75355
1523	2.89881	1859	7.96923
1448	1.6467	1487	2.40806
1380	0.57118	1428	1.51169
1511	2.70994	1278	-0.92478
1908	7.71834	1808	6.41218
1525	2.66708	1439	1.66156
1653	4.62286	1294	-0.68599
1579	3.76689	1498	2.31686
1301	-0.57384	1284	-0.80393
1588	3.91402	2800	21.96466
1501	2.61163	1515	2.77536
1831	7.02689	2647	19.184
1790	6.41621	1801	6.55112
1832	7.29215	1606	4.19326
